"Total Requirements, Industry-by-Industry - Summary"
"Total Requirements, Industry-by-Industry - Summary"

,Industries/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
,Industry Description,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises
111CA,Farms,1.3115695,0.0213036,0.0011069,0.0017466,0.0010162,0.0006590,0.0028632,0.0203205,0.0041527,0.0023947,0.0017254,0.0013534,0.0005300,0.0018767,0.0023495,0.0008305,0.0051417,0.0032404,0.3771925,0.0364449,0.0105087,0.0072432,0.0057051,0.0016105,0.0249025,0.0094544,0.0014291,0.0016413,0.0021228,0.0011417,0.0009648,0.0021332,0.0014503,0.0026743,0.0008162,0.0008606,0.0006133,0.0010750,0.0006049,0.0005715,0.0008197,0.0008431,0.0011248,0.0007578,0.0010147,0.0004839,0.0009901,0.0001542,0.0022138,0.0011617,0.0005424,0.0009121,0.0026366,0.0011769,0.0023429,0.0014758,0.0073565,0.0023007,0.0042426,0.0080401,0.0203189,0.0033027,0.0111465,0.0072198,0.0308156,0.0016654,0.0039762,0.0009816,0.0024430,0.0172243,0.0018760
113FF,"Forestry, fishing, and related activities",0.0731175,1.1293574,0.0003792,0.0020721,0.0005715,0.0003203,0.0043175,0.1305909,0.0016498,0.0021189,0.0011701,0.0012421,0.0004698,0.0019117,0.0022465,0.0005905,0.0145835,0.0036247,0.0284728,0.0031940,0.0099182,0.0264128,0.0039947,0.0004265,0.0025795,0.0087934,0.0009150,0.0004864,0.0021903,0.0003869,0.0005423,0.0005172,0.0057539,0.0005586,0.0005092,0.0005593,0.0003806,0.0005497,0.0003859,0.0002537,0.0002897,0.0004791,0.0006054,0.0002756,0.0003943,0.0002314,0.0003547,0.0001584,0.0012631,0.0006456,0.0002107,0.0003026,0.0006248,0.0003937,0.0006972,0.0006156,0.0009787,0.0006403,0.0009007,0.0011101,0.0022889,0.0005363,0.0024421,0.0024269,0.0065208,0.0008526,0.0006885,0.0004542,0.0006046,0.0034711,0.0014047
211,Oil and gas extraction,0.0186420,0.0034335,1.0790933,0.0166235,0.0075526,0.0503952,0.0163343,0.0112446,0.0116089,0.0173228,0.0093888,0.0073669,0.0023422,0.0113974,0.0081708,0.0036317,0.0095633,0.0078776,0.0120220,0.0182486,0.0045646,0.0139493,0.0122822,0.6216598,0.0351834,0.0201264,0.0041304,0.0046407,0.0045700,0.0031763,0.0039020,0.0567392,0.0210354,0.0455882,0.0369753,0.0172297,0.0068015,0.0203434,0.0128954,0.0025229,0.0022555,0.0031233,0.0034057,0.0035822,0.0062889,0.0011801,0.0057727,0.0007390,0.0068660,0.0051113,0.0013637,0.0025688,0.0039097,0.0029406,0.0057102,0.0126901,0.0101988,0.0052292,0.0051181,0.0052981,0.0047845,0.0036606,0.0071024,0.0048107,0.0061152,0.0045727,0.0100435,0.0036200,0.0152492,0.0233657,0.0645352
212,"Mining, except oil and gas",0.0058373,0.0005192,0.0039262,1.0923708,0.0028347,0.0100276,0.0158653,0.0036055,0.0889046,0.0683233,0.0194546,0.0101497,0.0019083,0.0147674,0.0111223,0.0039692,0.0070314,0.0055767,0.0048075,0.0057252,0.0012908,0.0105762,0.0033287,0.0064137,0.0097230,0.0069886,0.0009954,0.0010957,0.0011101,0.0008522,0.0009761,0.0017080,0.0030743,0.0020466,0.0015356,0.0011961,0.0018745,0.0012225,0.0011375,0.0006051,0.0007750,0.0016640,0.0029917,0.0006095,0.0012536,0.0004120,0.0010969,0.0005161,0.0019214,0.0012245,0.0004145,0.0007058,0.0018297,0.0008944,0.0021914,0.0029506,0.0031084,0.0013260,0.0016016,0.0013735,0.0019486,0.0027482,0.0051273,0.0018598,0.0021757,0.0030380,0.0018803,0.0065727,0.0012387,0.0025371,0.0175730
213,Support activities for mining,0.0012099,0.0002113,0.0616814,0.0239828,1.0210393,0.0031046,0.0013534,0.0007694,0.0025731,0.0024914,0.0010962,0.0007297,0.0002068,0.0010948,0.0007878,0.0003606,0.0007895,0.0006108,0.0008289,0.0011925,0.0002983,0.0010810,0.0008045,0.0356332,0.0022389,0.0013510,0.0002663,0.0002973,0.0002919,0.0002049,0.0002515,0.0033125,0.0012913,0.0027057,0.0021744,0.0010284,0.0004689,0.0012053,0.0007762,0.0001629,0.0001492,0.0002339,0.0002689,0.0002226,0.0003945,0.0000791,0.0003607,0.0000560,0.0004450,0.0003309,0.0000896,0.0001714,0.0002828,0.0001990,0.0003842,0.0008322,0.0006578,0.0003332,0.0003365,0.0003393,0.0003338,0.0002728,0.0005264,0.0003285,0.0004089,0.0003418,0.0006434,0.0003561,0.0009091,0.0014091,0.0041172
22,Utilities,0.0283452,0.0024677,0.0216733,0.0336733,0.0057442,1.0458680,0.0122862,0.0197833,0.0372373,0.0345595,0.0230137,0.0141572,0.0059184,0.0187283,0.0165782,0.0136663,0.0182093,0.0103838,0.0224782,0.0251752,0.0135764,0.0393999,0.0220500,0.0178681,0.0204920,0.0266271,0.0091895,0.0152098,0.0266133,0.0192230,0.0136816,0.0114558,0.0053453,0.0098733,0.0161231,0.0086903,0.0271195,0.0078493,0.0169653,0.0044000,0.0061681,0.0136362,0.0113389,0.0057147,0.0071986,0.0029019,0.0141311,0.0008944,0.0243721,0.0076045,0.0038392,0.0040392,0.0063022,0.0089513,0.0075307,0.0183747,0.0179187,0.0080293,0.0128399,0.0172130,0.0099570,0.0101881,0.0209492,0.0225745,0.0225465,0.0123857,0.0102677,0.0054690,0.0247502,0.0151437,0.0195732
23,Construction,0.0103006,0.0015936,0.0067812,0.0430748,0.0165128,0.0141291,1.0057558,0.0091034,0.0186170,0.0177451,0.0123336,0.0079721,0.0033510,0.0090575,0.0086182,0.0053158,0.0089882,0.0061482,0.0099993,0.0089470,0.0041278,0.0157858,0.0104270,0.0144721,0.0073169,0.0105579,0.0071203,0.0113047,0.0115681,0.0120549,0.0100400,0.0067702,0.0369937,0.0078184,0.0086146,0.0099052,0.0397813,0.0084433,0.0104031,0.0037299,0.0041357,0.0090044,0.0066465,0.0086683,0.0093947,0.0038222,0.0081161,0.0280258,0.0377941,0.0080626,0.0037450,0.0026709,0.0055439,0.0065944,0.0051989,0.0085267,0.0087642,0.0052174,0.0097043,0.0103005,0.0080718,0.0071426,0.0119149,0.0203438,0.0103522,0.0129024,0.0190093,0.0050002,0.0102166,0.0200924,0.1629121
321,Wood products,0.0052858,0.0017393,0.0017751,0.0072737,0.0035607,0.0017449,0.0372495,1.2580999,0.0066423,0.0121513,0.0057903,0.0067197,0.0027684,0.0109449,0.0126579,0.0030622,0.1178480,0.0123209,0.0052640,0.0046644,0.0017567,0.0379772,0.0061870,0.0019218,0.0026738,0.0135620,0.0056207,0.0024586,0.0049306,0.0019771,0.0031109,0.0012449,0.0541000,0.0020639,0.0029877,0.0018767,0.0023490,0.0022390,0.0022325,0.0010406,0.0014071,0.0027574,0.0037395,0.0010847,0.0015960,0.0007494,0.0013394,0.0012422,0.0081793,0.0033685,0.0008353,0.0008952,0.0017867,0.0014092,0.0027364,0.0025115,0.0020573,0.0019199,0.0028040,0.0020375,0.0050511,0.0016750,0.0037468,0.0056570,0.0033966,0.0042225,0.0021531,0.0016353,0.0017848,0.0040679,0.0096387
327,Nonmetallic mineral products,0.0021622,0.0003986,0.0066655,0.0100465,0.0079244,0.0016749,0.0456271,0.0101379,1.1361404,0.0192537,0.0100322,0.0083428,0.0018579,0.0157938,0.0180870,0.0031430,0.0080189,0.0070054,0.0058044,0.0034046,0.0014446,0.0055945,0.0024308,0.0062543,0.0038753,0.0106964,0.0012444,0.0020501,0.0014156,0.0010629,0.0015768,0.0015689,0.0032156,0.0020965,0.0020208,0.0014250,0.0026185,0.0013340,0.0015519,0.0006791,0.0006423,0.0036443,0.0022000,0.0008610,0.0013329,0.0006040,0.0011481,0.0013834,0.0028241,0.0030781,0.0005176,0.0010083,0.0030987,0.0010569,0.0021321,0.0040267,0.0015408,0.0029317,0.0039121,0.0018313,0.0036566,0.0010541,0.0023354,0.0020483,0.0036219,0.0035167,0.0024528,0.0023182,0.0015361,0.0028187,0.0190425
