year,employment_thousands_avg
1990,1054.375
1991,1017.9583333333334
1992,1047.6833333333334
1993,1078.1499999999999
1994,1168.7416666666666
1995,1241.4916666666666
1996,1240.3500000000001
1997,1253.9833333333333
1998,1271.5833333333333
1999,1312.3666666666666
2000,1313.3666666666666
2001,1212.8833333333334
2002,1151.25
2003,1125.3416666666667
2004,1112.6666666666667
2005,1096.6000000000001
2006,1069.9416666666666
2007,994.2083333333334
2008,875.5416666666666
2009,664.2333333333333
2010,678.3249999999999
2011,717.8583333333332
2012,777.3333333333334
2013,824.9
2014,872.0083333333333
2015,913.6
2016,944.2416666666667
2017,963.3833333333333
2018,998.4416666666666
2019,993.3833333333333
2020,887.3416666666667
2021,959.8583333333332
2022,1005.5500000000001
2023,1024.7833333333333
2024,1018.525
2025,999.8375
