sigma,scenario,P_bar_new,Q_total_new,Q_total_base,jp_direct_units,jp_usprod_units,jp_mxprod_units,delta_US_output,delta_US_employment
3.0,baseline,47857.71981020539,14802437.178155571,15311092.222070295,389074.8708550873,389074.8708550873,14909.90416606396,32718326926.883385,105168.97298553387
3.0,reciprocal_no_response,51065.40797205888,13872617.86624623,15311092.222070295,415577.5395855616,415577.5395855616,15925.52424465672,30541832102.53707,98172.90237665582
3.0,reciprocal_with_response,50890.408366487776,13920322.389215443,15311092.222070295,314550.4334116376,545430.245736201,63538.57015041468,38838542744.8655,124841.64186818784
3.0,reciprocal_strong_absorb,50805.260425937784,13943652.390347145,15311092.222070295,327118.97746199835,567224.0928963585,66077.39137908343,37806368538.05727,121523.84687473459
4.0,baseline,47843.251009154745,14806913.745154634,15311092.222070295,394519.8744261194,394519.8744261194,15118.564471597292,32271163578.489285,103731.62228565016
4.0,reciprocal_no_response,50471.13036271342,14035962.457930004,15311092.222070295,443551.47850569413,443551.47850569413,16997.52549606072,28244511259.287838,90788.45163005413
4.0,reciprocal_with_response,50246.60082391019,14098682.883305302,15311092.222070295,345311.13169315807,598769.2764306858,69752.1708262668,36312363163.334366,116721.55330863623
4.0,reciprocal_strong_absorb,50135.0392472623,14130055.578225572,15311092.222070295,363706.34301518823,630666.5608277291,73467.96740724608,34801682007.322395,111865.65752761341
5.0,baseline,47828.59567694084,14811450.784909336,15311092.222070295,400038.43310545554,400038.43310545554,15330.043513826027,31817959619.08517,102274.85479659052
5.0,reciprocal_no_response,49849.815229133754,14210903.043955913,15311092.222070295,472763.3675528938,472763.3675528938,18116.966762586675,25845525482.904438,83077.21166130617
5.0,reciprocal_with_response,49573.255416280284,14290182.983377129,15311092.222070295,378485.68706045183,656293.9337325974,76453.36589553299,33587948924.48149,107964.26421718528
5.0,reciprocal_strong_absorb,49433.11251161191,14330695.661009207,15311092.222070295,403700.0939756211,700015.6988265777,81546.62660162778,31517250810.720417,101308.26391270764
