scenario,partner,Q_units
baseline,Japan,793059.6458762386
baseline,Mexico,1587574.7510248953
baseline,Canada,647587.5053471656
baseline,Korea,692283.93391618
baseline,EU,578851.1697865317
baseline,China,69773.28285840558
baseline,Rest,10433306.889346154
reciprocal_no_response,Japan,847080.60341578
reciprocal_no_response,Mexico,1913663.0930777835
reciprocal_no_response,Canada,780602.1780839907
reciprocal_no_response,Korea,615123.7591790617
reciprocal_no_response,EU,549423.3776260995
reciprocal_no_response,China,65650.80896142239
reciprocal_no_response,Rest,9101074.045902094
reciprocal_with_response,Japan,923519.2492982532
reciprocal_with_response,Mexico,1909441.5834830906
reciprocal_with_response,Canada,778880.182401292
reciprocal_with_response,Korea,613766.8061915212
reciprocal_with_response,EU,548211.3586094884
reciprocal_with_response,China,65505.984346821984
reciprocal_with_response,Rest,9080997.224884976
reciprocal_strong_absorb,Japan,960420.4617374402
reciprocal_strong_absorb,Mexico,1907447.7520054744
reciprocal_strong_absorb,Canada,778066.8787430935
reciprocal_strong_absorb,Korea,613125.9132788047
reciprocal_strong_absorb,EU,547638.9184402592
reciprocal_strong_absorb,China,65437.58325265253
reciprocal_strong_absorb,Rest,9071514.88288942
