sigma,scenario,partner,share_new
3.0,baseline,Japan,0.053576288575409865
3.0,baseline,Mexico,0.1072509028018528
3.0,baseline,Canada,0.04374870823993978
3.0,baseline,Korea,0.04676823995833642
3.0,baseline,EU,0.0391051259208018
3.0,baseline,China,0.004713634789909613
3.0,baseline,Rest,0.7048370997137497
3.0,reciprocal_no_response,Japan,0.061061337635258464
3.0,reciprocal_no_response,Mexico,0.13794534755649537
3.0,reciprocal_no_response,Canada,0.05626927704707349
3.0,reciprocal_no_response,Korea,0.04434085657875236
3.0,reciprocal_no_response,EU,0.03960488084681649
3.0,reciprocal_no_response,China,0.0047324023190430985
3.0,reciprocal_no_response,Rest,0.6560458980165608
3.0,reciprocal_with_response,Japan,0.06634323713750592
3.0,reciprocal_with_response,Mexico,0.13716935068705027
3.0,reciprocal_with_response,Canada,0.055952740218482115
3.0,reciprocal_with_response,Korea,0.04409142180981582
3.0,reciprocal_with_response,EU,0.03938208780525131
3.0,reciprocal_with_response,China,0.004705780693525586
3.0,reciprocal_with_response,Rest,0.6523553816483689
3.0,reciprocal_strong_absorb,Japan,0.06887868650557555
3.0,reciprocal_strong_absorb,Mexico,0.1367968519730135
3.0,reciprocal_strong_absorb,Canada,0.055800794294164305
3.0,reciprocal_strong_absorb,Korea,0.0439716866223126
3.0,reciprocal_strong_absorb,EU,0.039275141340971494
3.0,reciprocal_strong_absorb,China,0.004693001619715749
3.0,reciprocal_strong_absorb,Rest,0.6505838376442468
4.0,baseline,Japan,0.05430965069185915
4.0,baseline,Mexico,0.10716779652702002
4.0,baseline,Canada,0.043714808365201356
4.0,baseline,Korea,0.04673200031743939
4.0,baseline,EU,0.03907482425193709
4.0,baseline,China,0.004709982301976386
4.0,baseline,Rest,0.7042909375445665
4.0,reciprocal_no_response,Japan,0.06441314482119126
4.0,reciprocal_no_response,Mexico,0.14934075572090932
4.0,reciprocal_no_response,Canada,0.06091757719221095
4.0,reciprocal_no_response,Korea,0.043363502105371717
4.0,reciprocal_no_response,EU,0.0395934158862398
4.0,reciprocal_no_response,China,0.004717292664735579
4.0,reciprocal_no_response,Rest,0.6376543116093415
4.0,reciprocal_with_response,Japan,0.07190973705427632
4.0,reciprocal_with_response,Mexico,0.1481441305831967
4.0,reciprocal_with_response,Canada,0.060429461916211034
4.0,reciprocal_with_response,Korea,0.043016042656488826
4.0,reciprocal_with_response,EU,0.03927616506941705
4.0,reciprocal_with_response,China,0.004679494335958409
4.0,reciprocal_with_response,Rest,0.6325449683844516
4.0,reciprocal_strong_absorb,Japan,0.07557230510088772
4.0,reciprocal_strong_absorb,Mexico,0.14755950214711672
4.0,reciprocal_strong_absorb,Canada,0.06019098617185213
4.0,reciprocal_strong_absorb,Korea,0.04284628634116528
4.0,reciprocal_strong_absorb,EU,0.03912116761613045
4.0,reciprocal_strong_absorb,China,0.004661027418339015
4.0,reciprocal_strong_absorb,Rest,0.6300487252045087
5.0,baseline,Japan,0.05505246728129533
5.0,baseline,Mexico,0.10708361884965259
5.0,baseline,Canada,0.04368047145473013
5.0,baseline,Korea,0.04669529347664448
5.0,baseline,EU,0.03904413193525555
5.0,baseline,China,0.004706282726325203
5.0,baseline,Rest,0.7037377342760968
5.0,reciprocal_no_response,Japan,0.06781016652409186
5.0,reciprocal_no_response,Mexico,0.16134731783094108
5.0,reciprocal_no_response,Canada,0.06581517310044249
5.0,reciprocal_no_response,Korea,0.0423210796635108
5.0,reciprocal_no_response,EU,0.03950111467312202
5.0,reciprocal_no_response,China,0.004692627725835901
5.0,reciprocal_no_response,Rest,0.6185125204820558
5.0,reciprocal_with_response,Japan,0.0777619844323344
5.0,reciprocal_with_response,Mexico,0.1596248155364786
5.0,reciprocal_with_response,Canada,0.06511254731031474
5.0,reciprocal_with_response,Korea,0.04186927074716482
5.0,reciprocal_with_response,EU,0.03907941097470931
5.0,reciprocal_with_response,China,0.004642530444186137
5.0,reciprocal_with_response,Rest,0.611909440554812
5.0,reciprocal_strong_absorb,Japan,0.08270794715351293
5.0,reciprocal_strong_absorb,Mexico,0.15876874760857773
5.0,reciprocal_strong_absorb,Canada,0.0647633487018844
5.0,reciprocal_strong_absorb,Korea,0.041644725837084375
5.0,reciprocal_strong_absorb,EU,0.03886982808332572
5.0,reciprocal_strong_absorb,China,0.00461763255218724
5.0,reciprocal_strong_absorb,Rest,0.6086277700634275
